Date,team1,team2,team1_odds,team2_odds
27 Dec 2021 ,Oklahoma City Thunder,New Orleans Pelicans,2.07,1.80
27 Dec 2021 ,San Antonio Spurs,Detroit Pistons,1.20,4.82
27 Dec 2021 ,Cleveland Cavaliers,Toronto Raptors,1.26,4.12
27 Dec 2021 ,Sacramento Kings,Memphis Grizzlies,2.24,1.69
27 Dec 2021 ,Washington Wizards,Philadelphia 76ers,2.45,1.59
27 Dec 2021 ,Miami Heat,Orlando Magic,1.18,5.30
26 Dec 2021 ,Utah Jazz,Dallas Mavericks,1.10,7.61
26 Dec 2021 ,Los Angeles Lakers,Brooklyn Nets,1.72,2.19
26 Dec 2021 ,Phoenix Suns,Golden State Warriors,1.42,3.02
26 Dec 2021 ,Milwaukee Bucks,Boston Celtics,1.32,3.56
26 Dec 2021 ,New York Knicks,Atlanta Hawks,1.41,3.03
24 Dec 2021 ,Los Angeles Lakers,San Antonio Spurs,1.83,2.03
24 Dec 2021 ,Golden State Warriors,Memphis Grizzlies,1.46,2.82
24 Dec 2021 ,Denver Nuggets,Charlotte Hornets,1.74,2.15
24 Dec 2021 ,Phoenix Suns,Oklahoma City Thunder,1.07,9.54
24 Dec 2021 ,Utah Jazz,Minnesota Timberwolves,1.07,9.42
24 Dec 2021 ,Dallas Mavericks,Milwaukee Bucks,2.45,1.59
24 Dec 2021 ,Miami Heat,Detroit Pistons,1.12,6.67
24 Dec 2021 ,New York Knicks,Washington Wizards,1.71,2.21
24 Dec 2021 ,Indiana Pacers,Houston Rockets,1.38,3.17
24 Dec 2021 ,Orlando Magic,New Orleans Pelicans,2.64,1.52
24 Dec 2021 ,Philadelphia 76ers,Atlanta Hawks,1.15,5.77
23 Dec 2021 ,Sacramento Kings,Los Angeles Clippers,2.54,1.55
23 Dec 2021 ,Milwaukee Bucks,Houston Rockets,1.24,4.25
23 Dec 2021 ,Oklahoma City Thunder,Denver Nuggets,3.22,1.37
23 Dec 2021 ,Atlanta Hawks,Orlando Magic,1.33,3.50
23 Dec 2021 ,Boston Celtics,Cleveland Cavaliers,1.39,3.10
22 Dec 2021 ,Los Angeles Lakers,Phoenix Suns,3.40,1.34
22 Dec 2021 ,Dallas Mavericks,Minnesota Timberwolves,2.14,1.74
22 Dec 2021 ,New Orleans Pelicans,Portland Trail Blazers,1.80,2.08
22 Dec 2021 ,Miami Heat,Indiana Pacers,2.15,1.74
22 Dec 2021 ,New York Knicks,Detroit Pistons,1.32,3.53
21 Dec 2021 ,Los Angeles Clippers,San Antonio Spurs,1.40,3.08
21 Dec 2021 ,Golden State Warriors,Sacramento Kings,1.10,7.38
21 Dec 2021 ,Utah Jazz,Charlotte Hornets,1.11,7.07
21 Dec 2021 ,Chicago Bulls,Houston Rockets,1.33,3.45
21 Dec 2021 ,Memphis Grizzlies,Oklahoma City Thunder,1.24,4.26
21 Dec 2021 ,Boston Celtics,Philadelphia 76ers,1.61,2.41
20 Dec 2021 ,Chicago Bulls,Los Angeles Lakers,1.35,3.39
20 Dec 2021 ,Minnesota Timberwolves,Dallas Mavericks,1.61,2.39
20 Dec 2021 ,Phoenix Suns,Charlotte Hornets,1.26,4.08
20 Dec 2021 ,Detroit Pistons,Miami Heat,3.34,1.35
20 Dec 2021 ,Memphis Grizzlies,Portland Trail Blazers,1.55,2.54
20 Dec 2021 ,Sacramento Kings,San Antonio Spurs,2.66,1.51
19 Dec 2021 ,Milwaukee Bucks,Cleveland Cavaliers,2.69,1.50
19 Dec 2021 ,Utah Jazz,Washington Wizards,1.22,4.60
19 Dec 2021 ,Oklahoma City Thunder,Los Angeles Clippers,2.58,1.54
19 Dec 2021 ,Brooklyn Nets,Orlando Magic,1.47,2.77
19 Dec 2021 ,Toronto Raptors,Golden State Warriors,1.29,3.79
19 Dec 2021 ,Boston Celtics,New York Knicks,1.44,2.91
19 Dec 2021 ,Detroit Pistons,Houston Rockets,1.94,1.91
18 Dec 2021 ,Minnesota Timberwolves,Los Angeles Lakers,1.96,1.88
18 Dec 2021 ,Portland Trail Blazers,Charlotte Hornets,1.80,2.06
18 Dec 2021 ,Sacramento Kings,Memphis Grizzlies,3.20,1.38
18 Dec 2021 ,Utah Jazz,San Antonio Spurs,1.14,6.20
18 Dec 2021 ,New Orleans Pelicans,Milwaukee Bucks,1.84,2.02
18 Dec 2021 ,Atlanta Hawks,Denver Nuggets,1.63,2.37
18 Dec 2021 ,Boston Celtics,Golden State Warriors,2.55,1.56
18 Dec 2021 ,Orlando Magic,Miami Heat,4.20,1.25
17 Dec 2021 ,Phoenix Suns,Washington Wizards,1.25,4.26
17 Dec 2021 ,Houston Rockets,New York Knicks,2.85,1.46
17 Dec 2021 ,Brooklyn Nets,Philadelphia 76ers,2.16,1.74
17 Dec 2021 ,Indiana Pacers,Detroit Pistons,1.19,4.99
16 Dec 2021 ,Portland Trail Blazers,Memphis Grizzlies,2.07,1.81
16 Dec 2021 ,Utah Jazz,Los Angeles Clippers,1.14,6.15
16 Dec 2021 ,Sacramento Kings,Washington Wizards,2.09,1.79
16 Dec 2021 ,Denver Nuggets,Minnesota Timberwolves,1.55,2.54
16 Dec 2021 ,San Antonio Spurs,Charlotte Hornets,1.64,2.33
16 Dec 2021 ,Milwaukee Bucks,Indiana Pacers,2.28,1.67
16 Dec 2021 ,Oklahoma City Thunder,New Orleans Pelicans,2.60,1.53
16 Dec 2021 ,Dallas Mavericks,Los Angeles Lakers,2.29,1.67
16 Dec 2021 ,Cleveland Cavaliers,Houston Rockets,1.23,4.43
16 Dec 2021 ,Orlando Magic,Atlanta Hawks,3.55,1.32
16 Dec 2021 ,Philadelphia 76ers,Miami Heat,1.31,3.62
15 Dec 2021 ,Portland Trail Blazers,Phoenix Suns,2.00,1.87
15 Dec 2021 ,Brooklyn Nets,Toronto Raptors,1.61,2.40
15 Dec 2021 ,New York Knicks,Golden State Warriors,2.93,1.43
14 Dec 2021 ,Los Angeles Clippers,Phoenix Suns,2.37,1.63
14 Dec 2021 ,Denver Nuggets,Washington Wizards,1.61,2.41
14 Dec 2021 ,Dallas Mavericks,Charlotte Hornets,1.70,2.22
14 Dec 2021 ,Memphis Grizzlies,Philadelphia 76ers,2.16,1.74
14 Dec 2021 ,Atlanta Hawks,Houston Rockets,1.18,5.19
14 Dec 2021 ,Boston Celtics,Milwaukee Bucks,1.95,1.91
14 Dec 2021 ,Cleveland Cavaliers,Miami Heat,1.48,2.77
14 Dec 2021 ,Indiana Pacers,Golden State Warriors,2.49,1.58
14 Dec 2021 ,Toronto Raptors,Sacramento Kings,1.54,2.60
13 Dec 2021 ,Los Angeles Lakers,Orlando Magic,1.22,4.61
13 Dec 2021 ,Portland Trail Blazers,Minnesota Timberwolves,1.69,2.26
13 Dec 2021 ,Oklahoma City Thunder,Dallas Mavericks,2.51,1.57
13 Dec 2021 ,San Antonio Spurs,New Orleans Pelicans,1.78,2.10
13 Dec 2021 ,Detroit Pistons,Brooklyn Nets,3.52,1.33
13 Dec 2021 ,New York Knicks,Milwaukee Bucks,3.01,1.42
12 Dec 2021 ,Philadelphia 76ers,Golden State Warriors,2.32,1.65
12 Dec 2021 ,San Antonio Spurs,Denver Nuggets,1.92,1.93
12 Dec 2021 ,Cleveland Cavaliers,Sacramento Kings,1.40,3.11
12 Dec 2021 ,Memphis Grizzlies,Houston Rockets,1.29,3.78
12 Dec 2021 ,Miami Heat,Chicago Bulls,2.07,1.80
12 Dec 2021 ,Washington Wizards,Utah Jazz,3.28,1.36
12 Dec 2021 ,Los Angeles Clippers,Orlando Magic,1.27,3.99
11 Dec 2021 ,Phoenix Suns,Boston Celtics,1.65,2.34
11 Dec 2021 ,Houston Rockets,Milwaukee Bucks,4.45,1.23
11 Dec 2021 ,Minnesota Timberwolves,Cleveland Cavaliers,2.08,1.79
11 Dec 2021 ,New Orleans Pelicans,Detroit Pistons,1.40,3.09
11 Dec 2021 ,Oklahoma City Thunder,Los Angeles Lakers,2.42,1.60
11 Dec 2021 ,Atlanta Hawks,Brooklyn Nets,1.79,2.09
11 Dec 2021 ,Toronto Raptors,New York Knicks,1.81,2.06
11 Dec 2021 ,Charlotte Hornets,Sacramento Kings,2.04,1.82
11 Dec 2021 ,Indiana Pacers,Dallas Mavericks,1.78,2.10
10 Dec 2021 ,San Antonio Spurs,Denver Nuggets,1.75,2.14
10 Dec 2021 ,Memphis Grizzlies,Los Angeles Lakers,2.49,1.58
10 Dec 2021 ,Philadelphia 76ers,Utah Jazz,2.24,1.70
09 Dec 2021 ,Los Angeles Clippers,Boston Celtics,1.81,2.07
09 Dec 2021 ,Golden State Warriors,Portland Trail Blazers,1.07,10.23
09 Dec 2021 ,Sacramento Kings,Orlando Magic,1.33,3.48
09 Dec 2021 ,Houston Rockets,Brooklyn Nets,2.43,1.60
09 Dec 2021 ,Memphis Grizzlies,Dallas Mavericks,1.83,2.04
09 Dec 2021 ,Minnesota Timberwolves,Utah Jazz,3.23,1.37
09 Dec 2021 ,New Orleans Pelicans,Denver Nuggets,2.13,1.76
09 Dec 2021 ,Miami Heat,Milwaukee Bucks,3.22,1.38
09 Dec 2021 ,Toronto Raptors,Oklahoma City Thunder,1.30,3.71
09 Dec 2021 ,Charlotte Hornets,Philadelphia 76ers,3.10,1.40
09 Dec 2021 ,Cleveland Cavaliers,Chicago Bulls,1.63,2.36
09 Dec 2021 ,Detroit Pistons,Washington Wizards,2.75,1.48
09 Dec 2021 ,Indiana Pacers,New York Knicks,1.51,2.67
08 Dec 2021 ,Los Angeles Lakers,Boston Celtics,1.69,2.24
08 Dec 2021 ,San Antonio Spurs,New York Knicks,2.06,1.80
08 Dec 2021 ,Dallas Mavericks,Brooklyn Nets,2.06,1.81
07 Dec 2021 ,Golden State Warriors,Orlando Magic,1.06,11.01
07 Dec 2021 ,Portland Trail Blazers,Los Angeles Clippers,2.61,1.54
07 Dec 2021 ,Phoenix Suns,San Antonio Spurs,1.33,3.46
07 Dec 2021 ,Chicago Bulls,Denver Nuggets,1.77,2.11
07 Dec 2021 ,Milwaukee Bucks,Cleveland Cavaliers,1.27,3.99
07 Dec 2021 ,Minnesota Timberwolves,Atlanta Hawks,1.80,2.08
07 Dec 2021 ,Miami Heat,Memphis Grizzlies,1.44,2.90
07 Dec 2021 ,Charlotte Hornets,Philadelphia 76ers,3.60,1.31
07 Dec 2021 ,Detroit Pistons,Oklahoma City Thunder,1.66,2.29
07 Dec 2021 ,Indiana Pacers,Washington Wizards,1.44,2.90
06 Dec 2021 ,Houston Rockets,New Orleans Pelicans,2.25,1.68
06 Dec 2021 ,Atlanta Hawks,Charlotte Hornets,1.33,3.52
06 Dec 2021 ,Toronto Raptors,Washington Wizards,1.86,1.99
06 Dec 2021 ,Cleveland Cavaliers,Utah Jazz,2.74,1.48
05 Dec 2021 ,Portland Trail Blazers,Boston Celtics,1.87,1.97
05 Dec 2021 ,Sacramento Kings,Los Angeles Clippers,2.08,1.79
05 Dec 2021 ,Dallas Mavericks,Memphis Grizzlies,1.96,1.89
05 Dec 2021 ,Golden State Warriors,San Antonio Spurs,1.23,4.47
05 Dec 2021 ,Brooklyn Nets,Chicago Bulls,1.70,2.22
05 Dec 2021 ,Milwaukee Bucks,Miami Heat,1.40,3.10
05 Dec 2021 ,New York Knicks,Denver Nuggets,1.74,2.16
04 Dec 2021 ,Golden State Warriors,Phoenix Suns,1.35,3.42
04 Dec 2021 ,Los Angeles Lakers,Los Angeles Clippers,1.73,2.17
04 Dec 2021 ,Utah Jazz,Boston Celtics,1.29,3.82
04 Dec 2021 ,Dallas Mavericks,New Orleans Pelicans,1.34,3.39
04 Dec 2021 ,Houston Rockets,Orlando Magic,1.66,2.29
04 Dec 2021 ,Atlanta Hawks,Philadelphia 76ers,1.71,2.20
04 Dec 2021 ,Brooklyn Nets,Minnesota Timberwolves,1.24,4.28
04 Dec 2021 ,Indiana Pacers,Miami Heat,1.46,2.82
04 Dec 2021 ,Washington Wizards,Cleveland Cavaliers,1.68,2.25
03 Dec 2021 ,Portland Trail Blazers,San Antonio Spurs,1.50,2.70
03 Dec 2021 ,Phoenix Suns,Detroit Pistons,1.14,6.15
03 Dec 2021 ,Memphis Grizzlies,Oklahoma City Thunder,1.18,5.14
03 Dec 2021 ,New York Knicks,Chicago Bulls,2.12,1.77
03 Dec 2021 ,Toronto Raptors,Milwaukee Bucks,2.45,1.64
02 Dec 2021 ,Los Angeles Clippers,Sacramento Kings,1.41,3.04
02 Dec 2021 ,New Orleans Pelicans,Dallas Mavericks,2.50,1.57
02 Dec 2021 ,Oklahoma City Thunder,Houston Rockets,1.75,2.14
02 Dec 2021 ,Milwaukee Bucks,Charlotte Hornets,1.26,4.10
02 Dec 2021 ,Boston Celtics,Philadelphia 76ers,1.68,2.27
02 Dec 2021 ,Miami Heat,Cleveland Cavaliers,1.67,2.27
02 Dec 2021 ,Indiana Pacers,Atlanta Hawks,1.76,2.11
02 Dec 2021 ,Orlando Magic,Denver Nuggets,3.79,1.29
02 Dec 2021 ,Washington Wizards,Minnesota Timberwolves,1.60,2.42
01 Dec 2021 ,Phoenix Suns,Golden State Warriors,1.66,2.31
01 Dec 2021 ,Portland Trail Blazers,Detroit Pistons,1.29,3.82
01 Dec 2021 ,Sacramento Kings,Los Angeles Lakers,1.87,1.98
01 Dec 2021 ,Brooklyn Nets,New York Knicks,1.40,3.11
01 Dec 2021 ,Toronto Raptors,Memphis Grizzlies,1.69,2.24
30 Nov 2021 ,Los Angeles Clippers,New Orleans Pelicans,1.34,3.40
30 Nov 2021 ,Utah Jazz,Portland Trail Blazers,1.36,3.33
30 Nov 2021 ,Dallas Mavericks,Cleveland Cavaliers,1.37,3.24
30 Nov 2021 ,San Antonio Spurs,Washington Wizards,2.33,1.65
30 Nov 2021 ,Chicago Bulls,Charlotte Hornets,1.47,2.77
30 Nov 2021 ,Houston Rockets,Oklahoma City Thunder,1.72,2.19
30 Nov 2021 ,Minnesota Timberwolves,Indiana Pacers,1.59,2.44
30 Nov 2021 ,Miami Heat,Denver Nuggets,1.66,2.30
30 Nov 2021 ,Philadelphia 76ers,Orlando Magic,1.10,7.95
29 Nov 2021 ,Los Angeles Lakers,Detroit Pistons,1.19,5.09
29 Nov 2021 ,Memphis Grizzlies,Sacramento Kings,1.58,2.46
29 Nov 2021 ,Toronto Raptors,Boston Celtics,2.06,1.82
29 Nov 2021 ,Indiana Pacers,Milwaukee Bucks,2.12,1.76
29 Nov 2021 ,Los Angeles Clippers,Golden State Warriors,2.22,1.70
28 Nov 2021 ,Utah Jazz,New Orleans Pelicans,1.11,7.35
28 Nov 2021 ,Dallas Mavericks,Washington Wizards,1.39,3.15
28 Nov 2021 ,Chicago Bulls,Miami Heat,1.95,1.90
28 Nov 2021 ,Cleveland Cavaliers,Orlando Magic,1.20,4.81
28 Nov 2021 ,Houston Rockets,Charlotte Hornets,2.77,1.47
28 Nov 2021 ,Atlanta Hawks,New York Knicks,1.31,3.65
28 Nov 2021 ,Brooklyn Nets,Phoenix Suns,1.80,2.08
28 Nov 2021 ,Philadelphia 76ers,Minnesota Timberwolves,1.39,3.15
27 Nov 2021 ,Los Angeles Lakers,Sacramento Kings,1.31,3.61
27 Nov 2021 ,Golden State Warriors,Portland Trail Blazers,1.41,3.08
27 Nov 2021 ,Denver Nuggets,Milwaukee Bucks,3.22,1.38
27 Nov 2021 ,Utah Jazz,New Orleans Pelicans,1.10,7.66
27 Nov 2021 ,San Antonio Spurs,Boston Celtics,2.57,1.54
27 Nov 2021 ,Indiana Pacers,Toronto Raptors,1.50,2.71
27 Nov 2021 ,Memphis Grizzlies,Atlanta Hawks,1.97,1.87
27 Nov 2021 ,Oklahoma City Thunder,Washington Wizards,3.14,1.39
27 Nov 2021 ,Charlotte Hornets,Minnesota Timberwolves,1.76,2.12
27 Nov 2021 ,New York Knicks,Phoenix Suns,2.42,1.60
27 Nov 2021 ,Orlando Magic,Chicago Bulls,4.42,1.23
27 Nov 2021 ,Los Angeles Clippers,Detroit Pistons,1.15,5.98
25 Nov 2021 ,Golden State Warriors,Philadelphia 76ers,1.21,4.85
25 Nov 2021 ,Sacramento Kings,Portland Trail Blazers,2.44,1.59
25 Nov 2021 ,San Antonio Spurs,Atlanta Hawks,2.41,1.60
25 Nov 2021 ,Houston Rockets,Chicago Bulls,4.48,1.23
25 Nov 2021 ,Milwaukee Bucks,Detroit Pistons,1.07,10.02
25 Nov 2021 ,Memphis Grizzlies,Toronto Raptors,1.62,2.38
25 Nov 2021 ,Minnesota Timberwolves,Miami Heat,1.93,1.91
25 Nov 2021 ,New Orleans Pelicans,Washington Wizards,2.43,1.60
25 Nov 2021 ,Oklahoma City Thunder,Utah Jazz,8.61,1.08
25 Nov 2021 ,Boston Celtics,Brooklyn Nets,1.83,2.03
25 Nov 2021 ,Cleveland Cavaliers,Phoenix Suns,3.45,1.34
25 Nov 2021 ,Indiana Pacers,Los Angeles Lakers,1.40,3.08
25 Nov 2021 ,Orlando Magic,Charlotte Hornets,3.62,1.31
24 Nov 2021 ,Los Angeles Clippers,Dallas Mavericks,1.68,2.26
24 Nov 2021 ,Portland Trail Blazers,Denver Nuggets,1.23,4.51
24 Nov 2021 ,New York Knicks,Los Angeles Lakers,1.54,2.60
24 Nov 2021 ,Detroit Pistons,Miami Heat,5.02,1.19
23 Nov 2021 ,Sacramento Kings,Philadelphia 76ers,1.51,2.68
23 Nov 2021 ,Utah Jazz,Memphis Grizzlies,1.18,5.18
23 Nov 2021 ,San Antonio Spurs,Phoenix Suns,2.81,1.46
23 Nov 2021 ,Chicago Bulls,Indiana Pacers,1.84,2.01
23 Nov 2021 ,Milwaukee Bucks,Orlando Magic,1.09,8.10
23 Nov 2021 ,New Orleans Pelicans,Minnesota Timberwolves,2.37,1.63
23 Nov 2021 ,Atlanta Hawks,Oklahoma City Thunder,1.10,7.53
23 Nov 2021 ,Boston Celtics,Houston Rockets,1.15,5.91
23 Nov 2021 ,Cleveland Cavaliers,Brooklyn Nets,2.83,1.46
23 Nov 2021 ,Washington Wizards,Charlotte Hornets,1.53,2.61
22 Nov 2021 ,Golden State Warriors,Toronto Raptors,1.25,4.14
22 Nov 2021 ,Chicago Bulls,New York Knicks,1.46,2.84
22 Nov 2021 ,Phoenix Suns,Denver Nuggets,1.20,4.91
22 Nov 2021 ,Detroit Pistons,Los Angeles Lakers,3.46,1.34
22 Nov 2021 ,Los Angeles Clippers,Dallas Mavericks,1.46,2.84
21 Nov 2021 ,Portland Trail Blazers,Philadelphia 76ers,1.35,3.39
21 Nov 2021 ,Sacramento Kings,Utah Jazz,3.66,1.31
21 Nov 2021 ,Milwaukee Bucks,Orlando Magic,1.10,7.48
21 Nov 2021 ,Minnesota Timberwolves,Memphis Grizzlies,1.72,2.19
21 Nov 2021 ,Atlanta Hawks,Charlotte Hornets,1.35,3.40
21 Nov 2021 ,Boston Celtics,Oklahoma City Thunder,1.22,4.60
21 Nov 2021 ,Indiana Pacers,New Orleans Pelicans,1.32,3.60
21 Nov 2021 ,Washington Wizards,Miami Heat,2.19,1.72
21 Nov 2021 ,New York Knicks,Houston Rockets,1.15,5.98
20 Nov 2021 ,Phoenix Suns,Dallas Mavericks,1.27,4.01
20 Nov 2021 ,Sacramento Kings,Toronto Raptors,1.64,2.35
20 Nov 2021 ,Denver Nuggets,Chicago Bulls,2.12,1.77
20 Nov 2021 ,Milwaukee Bucks,Oklahoma City Thunder,1.11,7.07
20 Nov 2021 ,New Orleans Pelicans,Los Angeles Clippers,2.59,1.54
20 Nov 2021 ,Boston Celtics,Los Angeles Lakers,1.89,1.96
20 Nov 2021 ,Brooklyn Nets,Orlando Magic,1.21,4.71
20 Nov 2021 ,Charlotte Hornets,Indiana Pacers,1.95,1.89
20 Nov 2021 ,Detroit Pistons,Golden State Warriors,2.11,1.77
19 Nov 2021 ,Denver Nuggets,Philadelphia 76ers,1.31,3.68
19 Nov 2021 ,Utah Jazz,Toronto Raptors,1.19,5.10
19 Nov 2021 ,Memphis Grizzlies,Los Angeles Clippers,1.94,1.90
19 Nov 2021 ,Minnesota Timberwolves,San Antonio Spurs,1.76,2.13
19 Nov 2021 ,Cleveland Cavaliers,Golden State Warriors,4.61,1.22
19 Nov 2021 ,Miami Heat,Washington Wizards,1.38,3.19
18 Nov 2021 ,Phoenix Suns,Dallas Mavericks,1.28,3.94
18 Nov 2021 ,Portland Trail Blazers,Chicago Bulls,1.62,2.38
18 Nov 2021 ,Minnesota Timberwolves,Sacramento Kings,1.74,2.17
18 Nov 2021 ,Oklahoma City Thunder,Houston Rockets,1.64,2.35
18 Nov 2021 ,Atlanta Hawks,Boston Celtics,1.50,2.70
18 Nov 2021 ,Brooklyn Nets,Cleveland Cavaliers,1.20,4.81
18 Nov 2021 ,Miami Heat,New Orleans Pelicans,1.37,3.23
18 Nov 2021 ,Milwaukee Bucks,Los Angeles Lakers,1.24,4.29
18 Nov 2021 ,New York Knicks,Orlando Magic,1.14,6.36
18 Nov 2021 ,Charlotte Hornets,Washington Wizards,1.89,1.95
18 Nov 2021 ,Detroit Pistons,Indiana Pacers,3.26,1.37
17 Nov 2021 ,Los Angeles Clippers,San Antonio Spurs,1.32,3.53
17 Nov 2021 ,Utah Jazz,Philadelphia 76ers,1.18,5.27
17 Nov 2021 ,Brooklyn Nets,Golden State Warriors,1.71,2.21
16 Nov 2021 ,Los Angeles Lakers,Chicago Bulls,2.10,1.79
16 Nov 2021 ,Portland Trail Blazers,Toronto Raptors,1.64,2.33
16 Nov 2021 ,Dallas Mavericks,Denver Nuggets,1.48,2.77
16 Nov 2021 ,Memphis Grizzlies,Houston Rockets,1.15,6.05
